"station_id","song","genre"
"radiozurnal","IVA FRÜHLINGOVÁ - OU TU VEUX QUAND TU VEUX","pop"
"radiozurnal","BELOVED - SWEET HARMONY","*core"
"radiozurnal","MIRAI - CHCI TANČIT","pop"
"radiozurnal","ROXETTE - DANGEROUS","pop"
"radiozurnal","SUGABABES - ABOUT YOU NOW","pop"
"radiozurnal","BEYONCÉ - IF I WERE A BOY","pop"
"radiozurnal","SOUL ASYLUM - RUNAWAY TRAIN","rock"
"radiozurnal","SCORPIONS - YOU AND I","rock"
"radiozurnal","ANETA LANGEROVÁ - STAČILO ŘÍCT","pop"
"radiozurnal","EDWYN COLLINS - A GIRL LIKE YOU","pop"
"radiozurnal","A-HA - TAKE ON ME","pop"
"radiozurnal","SONIQUE - ALIVE","pop"
"radiozurnal","MANS ZELMERLÖW - FIRE IN THE RAIN","pop"
"radiozurnal","CORRS - RADIO","pop"
"radiozurnal","CRANBERRIES - ZOMBIE","rock"
"radiozurnal","O5 & RADEČEK,  MARIA ČÍROVÁ - VLOUPÁM SE","other"
"radiozurnal","SUNRISE AVENUE - HOLLYWOOD HILLS","pop"
"radiozurnal","QUEEN - FRIENDS WILL BE FRIENDS","rock"
"radiozurnal","HARRY STYLES - SIGN OF THE TIMES","pop"
"radiozurnal","BRYAN ADAMS - SOMEBODY","pop"
"radiozurnal","DIVOKEJ BILL - BATALION","rock"
"radiozurnal","ANNA K. - MOUDŘEJŠÍ NEŽ NOC","pop"
"radiozurnal","BON JOVI - YOU GIVE LOVE A BAD NAME","rock"
"radiozurnal","REMBRANDTS - JUST THE WAY IT IS, BABY","other"
"radiozurnal","DEBBI - LA LA","pop"
"radiozurnal","U 2 - ONE","rock"
"radiozurnal","NICK JONAS - FIND YOU","pop"
"radiozurnal","UNIQUE II - BREAK MY STRIDE","pop"
"radiozurnal","JELEN - MAGDALÉNA","other"
"radiozurnal","ADELE - ROLLING IN THE DEEP","other"
"radiozurnal","RICHARD MÜLLER - NEBUDE TO LAHKÉ","pop"
"radiozurnal","WELSHLY ARMS - SANCTUARY","rock"
"radiozurnal","BELL BOOK & CANDLE - RESCUE ME","pop"
"radiozurnal","MICHAL HRŮZA - BUDU TI VYPRÁVĚT","*core"
"radiozurnal","ELTON JOHN - CIRCLE OF LIFE","pop"
"radiozurnal","LEWIS CAPALDI - TOUGH","pop"
"radiozurnal","ROLLING STONES - START ME UP","rock"
"radiozurnal","SHAYNE WARD - NO PROMISES","pop"
"radiozurnal","LUCIE - DAL BYCH TI CO CHCEŠ","pop"
"radiozurnal","OMD - MAID OF ORLEANS","pop"
"radiozurnal","GWEN STEFANI - COOL","pop"
"radiozurnal","GENESIS - LAND OF CONFUSION","rock"
"radiozurnal","PET SHOP BOYS - SUBURBIA","pop"
"radiozurnal","MIROSLAV ŽBIRKA - FAIR PLAY","other"
"radiozurnal","NIRVANA - THE MAN WHO SOLD THE WORLD","rock"
"radiozurnal","CHINASKI - 1970","pop"
"radiozurnal","STING - ALL THIS TIME","pop"
"radiozurnal","ALANNAH MYLES - BLACK VELVET","pop"
"radiozurnal","ED SHEEREN - GALWAY GIRL","other"
"radiozurnal","SAVAGE GARDEN - TO THE MOON AND BACK","pop"
"radiozurnal","PINK FLOYD - ANOTHER BRICK IN THE WALL","rock"
"radiozurnal","KAISER CHIEFS - RUBY","pop"
"radiozurnal","BUTY - VRÁNA","rock"
"radiozurnal","ŽENTOUR - TINA","rock"
"radiozurnal","TINA TURNER - PRIVATE DANCER","pop"
"radiozurnal","ALVARO SOLER - EL MISMO SOL","pop"
"radiozurnal","BRUNO MARS - COUNT ON ME","pop"
"radiozurnal","CRASH TEST DUMMIES - MMM MMM MMM MMM","rock"
"radiozurnal","XINDL X - DŘEVO","other"
"radiozurnal","FREDDIE MERCURY - LIVING ON MY OWN","pop"
"radiozurnal","SARAH CONNOR - FROM SARAH WITH LOVE","pop"
"radiozurnal","CALLING - WHEREVER YOU WILL GO","rock"
"radiozurnal","BRUCE SPRINGSTEEN - STREETS OF PHILADELPHIA","rock"
"radiozurnal","CHRIS REA - ON THE BEACH","rock"
"radiozurnal","NICKELBACK - PHOTOGRAPH","rock"
"radiozurnal","SEAL - AMAZING","pop"
"radiozurnal","WHITNEY HOUSTON,  ENRIQUE IGLESIAS - COULD I HAVE THIS KISS FOREVER","other"
"radiozurnal","CRANBERRIES - FREE TO DECIDE","rock"
"radiozurnal","TRAVELING WILBURYS - HANDLE WITH CARE","pop"
"radiozurnal","ROBBIE WILLIAMS - SUPREME","pop"
"radiozurnal","ROXETTE - JUNE AFTERNOON","pop"
"radiozurnal","SUPPORT LESBIENS - OCEAN","pop"
"radiozurnal","BRYAN ADAMS - RUN TO YOU","pop"
"radiozurnal","ČECHOMOR - VELICKÉ ZVONY","rock"
"radiozurnal","R.E.M. - IMITATION OF LIFE","rock"
"radiozurnal","WANASTOWI VJECY - NAHÁ","rock"
"radiozurnal","LP - GIRLS GO WILD","pop"
"radiozurnal","MICHAEL JACKSON - BLACK OR WHITE","pop"
"radiozurnal","HOOBASTANK - THE REASON","rock"
"radiozurnal","TOTO - AFRICA","pop"
"radiozurnal","DIVOKEJ BILL - MALOVÁNÍ","rock"
"radiozurnal","SCOOTER - BREAK IT UP","electronic"
"radiozurnal","CHRISTINA AGUILERA - BEAUTIFUL","pop"
"radiozurnal","ARMIN VAN BUUREN - THIS IS WHAT IT FEELS LIKE","electronic"
"radiozurnal","PHIL COLLINS - I WISH IT WOULD RAIN DOWN","pop"
"radiozurnal","COCOMAN,  KÁJA LESKOVEC - STOUPÁM","other"
"radiozurnal","P!NK - JUST LIKE FIRE","pop"
"radiozurnal","U 2 - SWEETEST THING","rock"
"radiozurnal","JAMES BLUNT - WISEMEN","pop"
"radiozurnal","ELLIE GOULDING - STILL FALLING FOR YOU","pop"
"radiozurnal","JAM & SPOON - SET ME FREE","electronic"
"radiozurnal","JENNIFER RUSH - TEARS IN THE RAIN","pop"
"radiozurnal","KRYŠTOF - NAVIDĚNOU","pop"
"radiozurnal","MIKE OLDFIELD,  ROGER CHAPMAN - SHADOW ON THE WALL","other"
"radiozurnal","COLBIE CAILLAT - BUBBLY","pop"
"radiozurnal","PETR FIALA - MĚSÍC","rock"
"radiozurnal","CHINASKI,  ZUZANA NORISOVÁ - DOBRÁK OD KOSTI","other"
"radiozurnal","FREDDIE MERCURY - LOVE KILLS","pop"
"radiozurnal","2CHOICE,  JAKUB ONDRA - REASONS TO LOVE YOU","other"
"radiozurnal","BAY CITY ROLLERS - BYE BYE BABY","pop"
"radiozurnal","DAVID STYPKA - JERICHO","pop"
"radiozurnal","MAGGIE REILLY - EVERY SINGLE HEARTBEAT","pop"
"radiozurnal","TOM WALKER - LEAVE LIGHT ON","electronic"
"radiozurnal","EURYTHMICS - MIRACLE OF LOVE","pop"
"radiozurnal","K-MARO - FEMME LIKE YOU","pop"
"radiozurnal","PETR HAPKA, LUCIE BÍLÁ - DÍVÁM SE, DÍVÁM","other"
"radiozurnal","RIHANNA - UNFAITHFUL","pop"
"radiozurnal","IMAGINE DRAGONS - ZERO","pop"
"radiozurnal","MIROSLAV ŽBIRKA - MOŽNO SA TI ZDÁ","other"
"radiozurnal","ENYA - ONLY TIME","other"
"radiozurnal","ERIC CLAPTON - WONDERFUL TONIGHT","rock"
"radiozurnal","KATY PERRY - ROAR","pop"
"radiozurnal","CROWDED HOUSE - WEATHER WITH YOU","pop"
"radiozurnal","LADY GAGA,  BRADLEY COOPER - SHALLOW","other"
"radiozurnal","MARCELLA DETROIT - I BELIEVE","pop"
"radiozurnal","GARETH GATES - ANYONE OF US","pop"
"radiozurnal","ROXETTE - SPENDING MY TIME","pop"
"radiozurnal","MATT SIMONS - WE CAN DO BETTER","pop"
"radiozurnal","ALICE SPRINGS - JÍZDA","other"
"radiozurnal","TRAVIS - SIDE","pop"
"radiozurnal","ROBIN GIBB - JULIET","pop"
"radiozurnal","BEATLES - COME TOGETHER","rock"
"radiozurnal","SIMPLE PLAN - UNTITLED","pop"
"radiozurnal","ZOO - UŽ SE BLÍŽÍ ČAS SLUHŮ","rock"
"radiozurnal","BUGGLES - VIDEO KILLED THE RADIO STAR","pop"
"radiozurnal","ELTON JOHN, GEORGE MICHAEL - DON'T LET THE SUN GO DOWN ON ME","other"
"radiozurnal","BON JOVI - RUNAWAY","rock"
"radiozurnal","NO NAME - ŽI... A NECH ŽÍT","pop"
"radiozurnal","CARDIGANS - MY FAVOURITE GAME","pop"
"radiozurnal","COLDPLAY - HYMN FOR THE WEEKEND","pop"
"radiozurnal","PHIL COLLINS - AGAINST ALL ODDS (TAKE A LOOK AT ME NOW)","pop"
"radiozurnal","ADIEMUS - ADIEMUS","classical"
"radiozurnal","STEVIE B. - BECAUSE I LOVE YOU (THE POSTMAN SONG)","other"
"radiozurnal","TINA TURNER - THE BEST","pop"
"radiozurnal","JAROMÍR NOHAVICA - DARMODĚJ","rock"
"radiozurnal","TIGHT FIT - THE LION SLEEPS TONIGHT","pop"
"radiozurnal","ALLE FARBEN,  JANIECK - LITTLE HOLLYWOOD","other"
"radiozurnal","ROD STEWART - SAILING","pop"
"radiozurnal","JESS GLYNNE - HOLD MY HAND","pop"
"radiozurnal","DEPECHE MODE - PRECIOUS","pop"
"radiozurnal","TEXAS - SAY WHAT YOU WANT","pop"
"radiozurnal","PAUL SIMON/ART GARFUNKEL - THE SOUND OF SILENCE","other"
"radiozurnal","FOREIGNER - I WANT TO KNOW WHAT LOVE IS","pop"
"radiozurnal","CHRISTINA PERRI - JAR OF HEARTS","pop"
"radiozurnal","EROS RAMAZZOTTI - FUOCO NEL FUOCO","pop"
