"station_id","song","genre","dead"
"radiozurnal","DAVID STYPKA - JERICHO","pop",1
"radiozurnal","MAGGIE REILLY - EVERY SINGLE HEARTBEAT","pop",1
"radiozurnal","TOM WALKER - LEAVE LIGHT ON","electronic",1
"radiozurnal","EURYTHMICS - MIRACLE OF LOVE","pop",2
"radiozurnal","K-MARO - FEMME LIKE YOU","pop",1
"radiozurnal","PETR HAPKA, LUCIE BÍLÁ - DÍVÁM SE, DÍVÁM","other",2
"radiozurnal","RIHANNA - UNFAITHFUL","pop",1
"radiozurnal","IMAGINE DRAGONS - ZERO","pop",2
"radiozurnal","MIROSLAV ŽBIRKA - MOŽNO SA TI ZDÁ","other",1
"radiozurnal","ENYA - ONLY TIME","other",1
"radiozurnal","ERIC CLAPTON - WONDERFUL TONIGHT","rock",1
"radiozurnal","KATY PERRY - ROAR","pop",1
"radiozurnal","CROWDED HOUSE - WEATHER WITH YOU","pop",2
"radiozurnal","LADY GAGA,  BRADLEY COOPER - SHALLOW","other",2
"radiozurnal","MARCELLA DETROIT - I BELIEVE","pop",1
"radiozurnal","GARETH GATES - ANYONE OF US","pop",1
"radiozurnal","ROXETTE - SPENDING MY TIME","pop",2
"radiozurnal","MATT SIMONS - WE CAN DO BETTER","pop",1
"radiozurnal","ALICE SPRINGS - JÍZDA","other",2
"radiozurnal","TRAVIS - SIDE","pop",2
"radiozurnal","ROBIN GIBB - JULIET","pop",0
"radiozurnal","BEATLES - COME TOGETHER","rock",2
"radiozurnal","SIMPLE PLAN - UNTITLED","pop",2
"radiozurnal","ZOO - UŽ SE BLÍŽÍ ČAS SLUHŮ","rock",2
"radiozurnal","BUGGLES - VIDEO KILLED THE RADIO STAR","pop",2
"radiozurnal","ELTON JOHN, GEORGE MICHAEL - DON'T LET THE SUN GO DOWN ON ME","other",2
"radiozurnal","BON JOVI - RUNAWAY","rock",2
"radiozurnal","NO NAME - ŽI... A NECH ŽÍT","pop",2
"radiozurnal","CARDIGANS - MY FAVOURITE GAME","pop",2
"radiozurnal","COLDPLAY - HYMN FOR THE WEEKEND","pop",2
"radiozurnal","PHIL COLLINS - AGAINST ALL ODDS (TAKE A LOOK AT ME NOW)","pop",1
"radiozurnal","ADIEMUS - ADIEMUS","classical",2
"radiozurnal","STEVIE B. - BECAUSE I LOVE YOU (THE POSTMAN SONG)","other",1
